,Bank_Name,Market_Cap,MC_EUR_Billion,MC_GBP_Billion,MC_INR_Billion
0,JPMorgan Chase,599.931,557.94,479.94,49764.28
1,Bank of America,307.9,286.35,246.32,25540.3
2,Industrial and Commercial Bank of China,303.543,282.29,242.83,25178.89
3,Agricultural Bank of China,232.836,216.54,186.27,19313.75
4,Bank of China,209.295,194.64,167.44,17361.02
5,China Construction Bank,192.715,179.22,154.17,15985.71
6,Wells Fargo,192.279,178.82,153.82,15949.54
7,HSBC,163.544,152.1,130.84,13565.97
8,Commonwealth Bank,156.639,145.67,125.31,12993.21
9,Goldman Sachs,156.356,145.41,125.08,12969.73
10,Royal Bank of Canada,,,,
11,Morgan Stanley,,,,
